filename,pageId,title,comparisonStatus,auditStatus,auditCoverage,callouts_expected,callouts_actual
"run-software-asset-management-foundation-plugin-software-rec-failure-2025-12-10T08-40-43.html","2c5a89fe-dba5-81e4-80e7-f19599895d59","Run Software Asset Management Foundation plugin software reconciliation in workspace","FAIL","FAIL","135.4","3","1"
"run-software-asset-management-foundation-plugin-software-rec-failure-2025-12-10T08-41-33.html","2c5a89fe-dba5-8184-8547-ef1fb0f90710","Run Software Asset Management Foundation plugin software reconciliation in classic","PASS","FAIL","109.4","1","1"
"run-the-oracle-software-counter-for-the-legacy-oracle-proces-failure-2025-12-10T08-35-38.html","2c5a89fe-dba5-81e4-9874-ebc1e07f5415","Run the Oracle software counter for the legacy Oracle Process Pack","FAIL","FAIL","122.3","","1"
"send-the-contract-for-approval-failure-2025-12-10T08-49-05.html","2c5a89fe-dba5-81ab-adb1-cba7e53f9dd6","Send the contract for approval","FAIL","FAIL","122","","1"
"setting-up-software-asset-management-foundation-plugin-failure-2025-12-10T08-37-20.html","2c5a89fe-dba5-8194-9db7-f042bd13a31c","Setting up Software Asset Management Foundation plugin","FAIL","PASS","104","2","1"
"software-contracts-for-the-legacy-software-asset-management--failure-2025-12-10T08-33-51.html","2c5a89fe-dba5-81e8-9733-c4f20926b992","Software contracts for the legacy Software Asset Management plugin","PASS","FAIL","90.7","",""
"source-requests-from-local-stockrooms-failure-2025-12-10T08-57-48.html","2c5a89fe-dba5-8173-9fed-e4033b02397a","Source requests from local stockrooms","FAIL","FAIL","127","5","2"
"supply-contract-renewal-information-failure-2025-12-10T08-44-57.html","2c5a89fe-dba5-81ee-b1a9-d0c887e0268d","Supply contract renewal information","PASS","FAIL","107.3","2","2"
"tables-installed-with-procurement-failure-2025-12-10T08-55-50.html","2c5a89fe-dba5-81da-aa68-cdd056233f36","Tables installed with Procurement","PASS","FAIL","140.3","",""
"update-terms-and-conditions-failure-2025-12-10T08-45-56.html","2c5a89fe-dba5-81bc-bb01-d5d6b9d84b4f","Update terms and conditions","FAIL","PASS","112.8","","1"
"use-software-counters-with-the-legacy-ibm-pvu-process-pack-failure-2025-12-10T08-33-26.html","2c5a89fe-dba5-8196-8fd8-d1a396b83439","Use software counters with the legacy IBM PVU Process Pack","FAIL","PASS","105.2","3","1"
"use-the-asset-contract-overview-module-failure-2025-12-10T08-43-09.html","2c5a89fe-dba5-8174-bfe7-d44e45961af1","Use the Asset Contract Overview module","FAIL","FAIL","115.3","","1"
"use-the-procurement-overview-module-failure-2025-12-10T08-54-55.html","2c5a89fe-dba5-8144-a587-cf2bb0c7c584","Use the Procurement Overview module","FAIL","FAIL","119.3","","1"
"validate-legacy-ibm-pvu-process-pack-requirements-for-associ-failure-2025-12-10T08-32-42.html","2c5a89fe-dba5-8128-bf68-c97223feb167","Validate legacy IBM PVU Process Pack requirements for associating software installations with PVU mappings","FAIL","FAIL","110.5","2","1"
